age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,ground_truth_label,model_prediction,model_score_positive
38,Private,136137,Some-college,10,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,0,0,50,United-States,1,0,0.303986
45,Private,297884,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,1,0,0.299542
56,Private,76281,Bachelors,13,Married-spouse-absent,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,0,0,0.071631
29,Federal-gov,244473,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,40,United-States,1,1,0.930725
44,Private,59474,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,1,0,0.253477
45,Private,27332,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,0,0,0.022058
56,Private,208451,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1,1,0.714361
22,Private,244773,HS-grad,9,Never-married,Sales,Own-child,Black,Female,0,0,15,United-States,0,0,4.7e-05
17,Self-emp-inc,183784,10th,6,Never-married,Sales,Own-child,White,Male,0,0,15,United-States,0,0,0.000397
53,Private,157069,Assoc-acdm,12,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,1,0,0.318553
23,Private,115458,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,0,0,0.001144
32,Private,164190,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,30,United-States,0,0,0.029442
39,Private,317434,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0,0,0.298776
31,State-gov,75755,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,55,United-States,1,1,0.976359
33,Local-gov,269604,5th-6th,3,Never-married,Other-service,Unmarried,Other,Female,0,0,40,El-Salvador,0,0,5.2e-05
20,Private,291979,HS-grad,9,Married-civ-spouse,Sales,Other-relative,White,Male,0,0,20,United-States,0,0,0.004871
85,Private,98611,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,Poland,0,0,0.12032
41,Private,180572,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,1,0,0.130939
22,Private,195075,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,38,United-States,0,0,0.000276
31,Private,254293,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0,0,0.047094
31,Self-emp-not-inc,204052,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1,0,0.108216
32,Private,80058,11th,7,Divorced,Sales,Not-in-family,White,Male,0,0,43,United-States,1,0,0.067033
17,Private,202521,10th,6,Never-married,Other-service,Own-child,White,Male,0,0,15,United-States,0,0,1.5e-05
30,Private,97757,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,36,United-States,1,1,0.587317
38,Private,66326,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,99,United-States,0,0,0.325902
48,Local-gov,177018,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,1,1,0.751953
33,Private,44392,HS-grad,9,Divorced,Handlers-cleaners,Own-child,White,Male,0,0,20,United-States,0,0,0.000331
21,State-gov,145651,Some-college,10,Never-married,Sales,Own-child,Black,Female,0,1602,12,United-States,0,0,0.00018
17,Private,220384,11th,7,Never-married,Adm-clerical,Own-child,White,Male,0,0,15,United-States,0,0,0.000196
22,Private,134746,10th,6,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,0,0,0.088105
23,Private,70894,Assoc-acdm,12,Never-married,Craft-repair,Other-relative,White,Male,0,0,40,United-States,0,0,0.002737
28,Private,109621,Assoc-acdm,12,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0,0,0.042673
57,Self-emp-inc,159028,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,60,United-States,1,1,1.0
20,Private,281356,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,0,0,40,United-States,0,0,0.005179
40,Self-emp-not-inc,243636,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,1,1,0.532549
29,Private,35032,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0,0,0.057397
62,Local-gov,140851,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,1,0,0.185491
63,Self-emp-inc,110610,10th,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,0,0,0.08877
47,Private,168262,Masters,14,Separated,Exec-managerial,Not-in-family,White,Male,99999,0,50,United-States,1,1,1.0
30,Private,208043,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,1,1,0.571602
32,Private,97429,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,Canada,0,0,0.009471
20,Private,107658,Some-college,10,Never-married,Tech-support,Not-in-family,White,Female,0,0,10,United-States,0,0,0.000552
17,Private,118792,11th,7,Never-married,Sales,Own-child,White,Female,0,0,9,United-States,0,0,7.3e-05
61,Local-gov,115023,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,0,0,0.189893
31,Private,157640,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,1,0,0.215369
21,Private,184756,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,16,United-States,0,0,0.000276
32,Self-emp-inc,110331,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,65,United-States,1,0,0.245146
23,Private,205939,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,38,United-States,0,0,0.038188
32,Private,227931,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0,0,0.036428
48,Private,233802,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,45,United-States,0,1,0.917935
45,Local-gov,166181,HS-grad,9,Divorced,Other-service,Own-child,Black,Female,0,0,40,United-States,0,0,0.001928
61,Private,85434,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0,0,0.290186
48,Self-emp-inc,302612,Masters,14,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,0,1,0.50441
23,Private,140915,Some-college,10,Never-married,Sales,Other-relative,Asian-Pac-Islander,Male,0,0,25,Philippines,0,0,0.002547
